id,buName,dpId,dpName,profitCenter
298,"Enterprise SD - Mining / Construction",5007,"CHINA SPACE SATELLITE TELECOMMUNICATION CO.LTD",2535
299,"Enterprise SD - FinTech",5007,"CHINA SPACE SATELLITE TELECOMMUNICATION CO.LTD",2538
300,"Enterprise SD - Other business",5007,"CHINA SPACE SATELLITE TELECOMMUNICATION CO.LTD",2541
301,"Enterprise Aviation",3055,"CHINA TELECOM SATELLITE CO. LTD.",3012
302,Maritime,3055,"CHINA TELECOM SATELLITE CO. LTD.",1328
303,"Enterprise SD - Resources",3055,"CHINA TELECOM SATELLITE CO. LTD.",2533
304,"Enterprise SD - AgriTech",3055,"CHINA TELECOM SATELLITE CO. LTD.",2536
305,"Enterprise SD - Integrated Transport",3055,"CHINA TELECOM SATELLITE CO. LTD.",2537
306,"Enterprise SD - FinTech",3055,"CHINA TELECOM SATELLITE CO. LTD.",2538
307,"Enterprise SD - BYOD",3055,"CHINA TELECOM SATELLITE CO. LTD.",2539
308,"Enterprise SD - Other business",3055,"CHINA TELECOM SATELLITE CO. LTD.",2541
309,"Enterprise Aviation",9101,"CONNECT ACCREDITATION PROGRAMME",3012
310,"Global Government",9101,"CONNECT ACCREDITATION PROGRAMME",4500
311,Maritime,9101,"CONNECT ACCREDITATION PROGRAMME",1348
312,"Enterprise SD - Media",9101,"CONNECT ACCREDITATION PROGRAMME",2532
313,"Enterprise SD - Resources",9101,"CONNECT ACCREDITATION PROGRAMME",2533
314,"Enterprise SD - Mining / Construction",9101,"CONNECT ACCREDITATION PROGRAMME",2535
315,"Enterprise SD - Integrated Transport",9101,"CONNECT ACCREDITATION PROGRAMME",2537
316,"Enterprise SD - BYOD",9101,"CONNECT ACCREDITATION PROGRAMME",2539
317,Maritime,99999997,"DP END USER",1348
318,"US Government",99999997,"DP END USER",4001
319,"Enterprise SD - NGO",99999997,"DP END USER",2534
320,"Enterprise SD - Integrated Transport",99999997,"DP END USER",2537
321,"Enterprise SD - FinTech",99999997,"DP END USER",2538
322,"Global Government",1970,"DP INM WORLD",4500
323,Maritime,1970,"DP INM WORLD",1348
324,Maritime,1431,"SINGAPORE TELECOMMUNICATIONS LIMITED",1328
325,Maritime,3035,"INMARSAT AUSTRALIA PTY LIMITED",5505
326,"Enterprise Aviation",5011,"ACES INTERNATIONAL LIMITED",3012
327,"Global Government",5011,"ACES INTERNATIONAL LIMITED",4500
328,"Enterprise SD - BYOD",3058,"AEROSATCOM LIMITED",2539
329,Maritime,5011,"ACES INTERNATIONAL LIMITED",1328
330,"Enterprise SD - Media",5011,"ACES INTERNATIONAL LIMITED",2532
331,"Enterprise SD - Media",3056,"BOEING SATELLITE SYSTEMS INTERNATIONAL INC.",2532
332,"Global Government",3055,"CHINA TELECOM SATELLITE CO. LTD.",4500
333,"Enterprise SD - NGO",9101,"CONNECT ACCREDITATION PROGRAMME",2534
334,"Enterprise SD - Mining / Construction",5011,"ACES INTERNATIONAL LIMITED",2535
335,"Enterprise SD - BYOD",5011,"ACES INTERNATIONAL LIMITED",2539
336,Maritime,3032,"AST CONNECTIONS LTD",1300
337,"Global Government",5007,"CHINA SPACE SATELLITE TELECOMMUNICATION CO.LTD",4500
338,"Enterprise SD - AgriTech",5011,"ACES INTERNATIONAL LIMITED",2536
339,"Enterprise SD - AgriTech",5007,"CHINA SPACE SATELLITE TELECOMMUNICATION CO.LTD",2536
340,"US Government",3058,"AEROSATCOM LIMITED",4020
341,"Enterprise Aviation",5007,"CHINA SPACE SATELLITE TELECOMMUNICATION CO.LTD",3012
342,Maritime,3058,"AEROSATCOM LIMITED",1300
343,Maritime,5007,"CHINA SPACE SATELLITE TELECOMMUNICATION CO.LTD",1328
344,"Enterprise SD - Resources",3058,"AEROSATCOM LIMITED",2533
345,"Enterprise SD - Media",3036,"AND GROUP PLC",2532
346,"Enterprise SD - Mining / Construction",3058,"AEROSATCOM LIMITED",2535
347,"Enterprise SD - Integrated Transport",3036,"AND GROUP PLC",2537
348,"Enterprise Aviation",3034,"ARINC INC USA",3012
349,"Enterprise SD - Media",3034,"ARINC INC USA",2532
350,"Enterprise SD - BYOD",3032,"AST CONNECTIONS LTD",2539
351,"Enterprise Aviation",3056,"BOEING SATELLITE SYSTEMS INTERNATIONAL INC.",3012
352,"Enterprise SD - AgriTech",3058,"AEROSATCOM LIMITED",2536
353,"Enterprise SD - Integrated Transport",3058,"AEROSATCOM LIMITED",2537
354,"Global Government",3036,"AND GROUP PLC",4500
355,"Enterprise SD - Other business",9101,"CONNECT ACCREDITATION PROGRAMME",2541
356,"US Government",3036,"AND GROUP PLC",4001
357,"Enterprise Aviation",1090,"BEIJING MARINE COMMUNICATION & NAVIGATION COMPANY LIMITED",3012
358,"Global Government",1090,"BEIJING MARINE COMMUNICATION & NAVIGATION COMPANY LIMITED",4500
359,"Enterprise SD - Media",1090,"BEIJING MARINE COMMUNICATION & NAVIGATION COMPANY LIMITED",2532
